,Tuple,Count,Start X,Start Y,End X,End Y
33842,"(40.75293, -73.97918, 40.75312, -73.97908)",56,40.75293,-73.97918,40.75312,-73.97908
33843,"(40.71451, -73.99066, 40.71441, -73.99024)",37,40.71451,-73.99066,40.71441,-73.99024
33844,"(40.71477, -73.9495, 40.71477, -73.9495)",21,40.71477,-73.9495,40.71477,-73.9495
33845,"(40.74165, -73.99743, 40.74107, -73.99787)",130,40.74165,-73.99743,40.74107,-73.99787
33846,"(40.7179, -73.98948, 40.71697, -73.98996)",1,40.7179,-73.98948,40.71697,-73.98996
33847,"(40.71185, -74.0147, 40.71189, -74.0147)",992,40.71185,-74.0147,40.71189,-74.0147
33848,"(40.76035, -73.97179, 40.76098, -73.97134)",105,40.76035,-73.97179,40.76098,-73.97134
33849,"(40.71621, -74.00014, 40.71656, -73.99994)",43,40.71621,-74.00014,40.71656,-73.99994
33850,"(40.72109, -74.01225, 40.72107, -74.01226)",1622,40.72109,-74.01225,40.72107,-74.01226
33851,"(40.69768, -73.96478, 40.69768, -73.96476)",17,40.69768,-73.96478,40.69768,-73.96476
33852,"(40.71817, -73.9884, 40.71811, -73.98843)",28,40.71817,-73.9884,40.71811,-73.98843
33853,"(40.71452, -73.95761, 40.71482, -73.95881)",11,40.71452,-73.95761,40.71482,-73.95881
33854,"(40.7287, -73.95157, 40.72766, -73.95098)",6,40.7287,-73.95157,40.72766,-73.95098
